"","mixture_collection","indiv","repunit","collection","PofZ","log_likelihood","z_score","n_non_miss_loci","n_miss_loci","missing_loci"
"11","krista","gtseq3_H-14-MI-V0218","miniatus","miniatus","1","-41.1755838314129","-2.06092816181418","67","23","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_162.1 = 26, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_410.1 = 75, tag_id_879.1 = 86, tag_id_913.1 = 87, 
tag_id_942.1 = 88)"
"12","krista","gtseq3_H-14-MI-V0220","miniatus","miniatus","1","-52.9117559545832","-2.13171294520419","81","9","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2368.1 = 67, tag_id_879.1 = 86, tag_id_913.1 = 87)"
"13","krista","gtseq3_H-14-MI-V0223","miniatus","miniatus","1","-21.2474974294432","0.489145414628478","62","28","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1652.1 = 27, tag_id_1708.1 = 29, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_1966.2 = 44, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, 
tag_id_402.1 = 74, tag_id_770.1 = 80, tag_id_788.1 = 81, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88)"
"14","krista","gtseq3_H-14-MI-V0224","miniatus","miniatus","1","-44.4171936960856","-0.751336086009507","85","5","c(Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_1810.1 = 36, tag_id_2368.1 = 67, tag_id_942.1 = 88)"
"15","krista","gtseq3_H-14-MI-V0226","miniatus","miniatus","1","-55.4901894097484","-3.36940666152267","68","22","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1966.2 = 44, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_788.1 = 81, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"16","krista","gtseq3_H-14-MI-V0227","miniatus","miniatus","1","-48.2708153290989","-2.57540602442161","70","20","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_788.1 = 81, tag_id_843.1 = 82, tag_id_875.1 = 85, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"17","krista","gtseq3_H-14-MI-V0228","miniatus","miniatus","1","-32.9275393307986","0.289908403959137","80","10","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2368.1 = 67, tag_id_879.1 = 86, tag_id_942.1 = 88)"
"18","krista","gtseq3_H-14-MI-V0230","miniatus","miniatus","1","-42.0882203758714","-1.7128724576734","70","20","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_874.1 = 84, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88)"
"19","krista","gtseq3_H-14-MI-V0231","miniatus","miniatus","1","-31.4101098316562","-1.05336180125235","63","27","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_108.2 = 10, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1652.1 = 27, tag_id_1748.1 = 30, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_325.1 = 73, tag_id_770.1 = 80, tag_id_874.1 = 84, 
tag_id_875.1 = 85, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"20","krista","gtseq3_H-14-MI-V0232","miniatus","miniatus","1","-50.7126193796414","-1.65274150788417","84","6","c(Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2368.1 = 67, tag_id_942.1 = 88)"
