"","mixture_collection","indiv","repunit","collection","PofZ","log_likelihood","z_score","n_non_miss_loci","n_miss_loci","missing_loci"
"43","krista","gtseq3_H-14-MI-V0272","miniatus","miniatus","1","-108.107902358368","-9.71181296704688","74","16","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1558.1 = 21, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"44","krista","gtseq3_H-14-MI-V0273","miniatus","miniatus","1","-100.083014384245","-9.12456726230161","71","19","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_C08_Sat_EW987116_consensus.1 = 4, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1441.1 = 17, tag_id_1558.1 = 21, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1880.1 = 39, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_770.1 = 80, tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"45","krista","gtseq3_H-14-MI-V0275","miniatus","miniatus","1","-140.755560385956","-12.4993920276203","83","7","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_1810.1 = 36, tag_id_2368.1 = 67, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"46","krista","gtseq3_H-14-MI-V0277","miniatus","miniatus","1","-117.192523868813","-11.1422422256834","73","17","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1558.1 = 21, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_770.1 = 80, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"47","krista","gtseq3_H-14-MI-V0281","miniatus","miniatus","1","-97.674217569839","-9.50881281106337","67","23","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1889.1 = 40, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2368.1 = 67, tag_id_2499.1 = 68, tag_id_410.1 = 75, tag_id_770.1 = 80, tag_id_874.1 = 84, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89)"
"48","krista","gtseq3_H-18-MI-BL-A0020","mystinus","mystinus","1","-29.828403705987","0.685793097787187","71","19","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, tag_id_143.1 = 16, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1889.1 = 40, tag_id_1915.1 = 41, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2635.1 = 71, tag_id_770.1 = 80, tag_id_879.1 = 86, tag_id_987.1 = 90)"
"49","krista","gtseq3_H-18-MI-BL-A0022","mystinus","mystinus","1","-41.9770521526986","-0.94345113156032","72","18","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1889.1 = 40, tag_id_1915.1 = 41, tag_id_2017.1 = 50, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2635.1 = 71, tag_id_987.1 = 90)"
"50","krista","gtseq3_H-18-MI-BL-A0188","mystinus","mystinus","1","-33.8325206335746","0.248512517808846","72","18","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_143.1 = 16, tag_id_1558.1 = 21, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1889.1 = 40, tag_id_1915.1 = 41, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2635.1 = 71, tag_id_987.1 = 90)"
"51","krista","gtseq3_H-18-MI-BL-A0193","mystinus","mystinus","1","-45.6658999778797","-0.423349528737014","76","14","c(tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1915.1 = 41, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2635.1 = 71)"
"52","krista","gtseq3_H-18-MI-BL-A0194","mystinus","mystinus","1","-28.5803291712469","1.47600272018033","75","15","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1889.1 = 40, tag_id_1915.1 = 41, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2635.1 = 71)"
"53","krista","gtseq3_H-18-MI-BL-A0866","mystinus","mystinus","1","-41.2609664805349","-1.04252738720951","72","18","c(Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_143.1 = 16, tag_id_1558.1 = 21, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1889.1 = 40, tag_id_1915.1 = 41, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2635.1 = 71, tag_id_770.1 = 80, tag_id_987.1 = 90)"
"54","krista","gtseq3_T-08-NA-BL-M1341","diaconus","diaconus","0.999999999984207","-19.9977505659853","0.526998806224724","60","30","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_143.1 = 16, tag_id_1471.1 = 19, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1880.1 = 39, tag_id_1889.1 = 40, tag_id_1915.1 = 41, tag_id_1982.1 = 45, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_220.1 = 58, 
tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2635.1 = 71, tag_id_875.1 = 85, tag_id_879.1 = 86, tag_id_981.1 = 89, tag_id_987.1 = 90)"
"55","krista","gtseq3_T-08-NA-BL-M1342","diaconus","diaconus","1","-29.8299707344744","0.583212664822856","74","16","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, tag_id_1558.1 = 21, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1889.1 = 40, tag_id_1915.1 = 41, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2635.1 = 71, tag_id_879.1 = 86, tag_id_987.1 = 90)"
"56","krista","gtseq3_T-19-EX-RE0053","aleutianus","aleutianus","1","-33.8593557543861","1.09457795034948","68","22","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2499.1 = 68, tag_id_265.1 = 72, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"57","krista","gtseq3_T-19-EX-RE0054","aleutianus","aleutianus","1","-48.5131653130506","-0.690695494676124","66","24","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_265.1 = 72, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_879.1 = 86, 
tag_id_942.1 = 88, tag_id_987.1 = 90)"
"58","krista","gtseq3_T-19-EX-RE0055","aleutianus","aleutianus","1","-54.3319285125786","-1.349892482313","67","23","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, 
tag_id_987.1 = 90)"
"59","krista","gtseq3_T-19-EX-RE0056","aleutianus","aleutianus","1","-49.5100368738484","-0.967851501697438","64","26","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1558.1 = 21, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_265.1 = 72, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_874.1 = 84, 
tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"60","krista","gtseq3_T-19-EX-RE0057","aleutianus","aleutianus","1","-44.4833437150701","-0.319288641328116","65","25","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2301.1 = 65, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_788.1 = 81, tag_id_874.1 = 84, 
tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"61","krista","gtseq3_T-19-EX-RE0058","aleutianus","aleutianus","1","-49.9212463047775","-0.94145433470925","63","27","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_1966.2 = 44, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_265.1 = 72, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_770.1 = 80, tag_id_874.1 = 84, 
tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89, tag_id_987.1 = 90)"
"62","krista","gtseq3_T-19-EX-RE0059","aleutianus","aleutianus","1","-57.8750800463197","-0.580337593135453","72","18","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1950.1 = 42, tag_id_2062.1 = 51, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"63","krista","gtseq3_T-19-EX-RE0060","melanostictus","melanostictus","1","-68.5853404350359","0.112030946321727","66","24","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_143.1 = 16, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_1966.2 = 44, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2499.1 = 68, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_942.1 = 88, 
tag_id_981.1 = 89, tag_id_987.1 = 90)"
"64","krista","gtseq3_T-19-EX-RE0061","melanostictus","melanostictus","0.999902735615912","-120.504083640111","-3.94161311618122","73","17","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1950.1 = 42, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2301.1 = 65, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"65","krista","gtseq3_T-19-EX-RE0062","melanostictus","melanostictus","1","-78.7887278056209","0.343969341045059","75","15","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, tag_id_1184.1 = 11, tag_id_1441.1 = 17, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1950.1 = 42, tag_id_1966.2 = 44, tag_id_2017.1 = 50, tag_id_2499.1 = 68, tag_id_55.1 = 77, tag_id_987.1 = 90)"
"66","krista","gtseq3_T-19-EX-RE0063","melanostictus","melanostictus","1","-87.1653902872804","-0.79811592957521","72","18","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, tag_id_1441.1 = 17, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_1810.1 = 36, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_1966.2 = 44, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2301.1 = 65, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"67","krista","gtseq3_T-19-EX-RE0065","melanostictus","melanostictus","1","-62.1009524461355","1.53710800512434","71","19","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, tag_id_1184.1 = 11, tag_id_143.1 = 16, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2301.1 = 65, tag_id_55.1 = 77, tag_id_874.1 = 84, tag_id_987.1 = 90)"
"68","krista","gtseq3_T-19-EX-RE0066","aleutianus","aleutianus","1","-43.3860445170079","0.673312390237028","73","17","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_987.1 = 90)"
"69","krista","gtseq3_T-19-EX-RE0067","melanostictus","melanostictus","1","-62.4085642143687","0.454137901553535","65","25","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_143.1 = 16, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1950.1 = 42, tag_id_1961.1 = 43, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2607.1 = 70, tag_id_55.1 = 77, 
tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"70","krista","gtseq3_T-19-EX-RE0068","aleutianus","aleutianus","1","-39.6748519542481","0.718768000358737","70","20","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2062.1 = 51, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"71","krista","gtseq3_T-19-EX-RE0070","melanostictus","melanostictus","1","-58.2924120973655","0.868629678832638","65","25","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_143.1 = 16, tag_id_1441.1 = 17, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_1966.2 = 44, tag_id_2017.1 = 50, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_250.1 = 69, tag_id_402.1 = 74, tag_id_55.1 = 77, 
tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"72","krista","gtseq3_T-19-EX-RE0071","aleutianus","aleutianus","1","-52.6495215131143","-1.27831333854621","66","24","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2062.1 = 51, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_265.1 = 72, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_913.1 = 87, 
tag_id_942.1 = 88, tag_id_987.1 = 90)"
"73","krista","gtseq3_T-19-EX-RE0072","melanostictus","melanostictus","0.982926663818119","-117.743058272816","-3.8751646473897","74","16","c(Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2062.1 = 51, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"74","krista","gtseq3_T-19-EX-RE0073","aleutianus","aleutianus","1","-35.7470738644609","0.525859154746297","60","30","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_1449.1 = 18, tag_id_1471.1 = 19, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_162.1 = 26, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1889.1 = 40, tag_id_1950.1 = 42, tag_id_2062.1 = 51, tag_id_2499.1 = 68, tag_id_265.1 = 72, tag_id_402.1 = 74, tag_id_55.1 = 77, 
tag_id_788.1 = 81, tag_id_843.1 = 82, tag_id_874.1 = 84, tag_id_879.1 = 86, tag_id_913.1 = 87, tag_id_942.1 = 88, tag_id_981.1 = 89, tag_id_987.1 = 90)"
"75","krista","gtseq3_T-19-EX-RE0074","melanostictus","melanostictus","1","-73.6812925957075","0.617987626526265","72","18","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, tag_id_143.1 = 16, tag_id_1441.1 = 17, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1804.1 = 34, tag_id_1810.1 = 36, tag_id_1950.1 = 42, tag_id_1961.1 = 43, tag_id_1966.2 = 44, tag_id_2062.1 = 51, tag_id_55.1 = 77, tag_id_879.1 = 86, tag_id_942.1 = 88, tag_id_987.1 = 90)"
"76","krista","gtseq3_T-19-EX-RE0075","aleutianus","aleutianus","1","-39.9859503458308","1.41739812563033","75","15","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1272.1 = 13, tag_id_1471.1 = 19, tag_id_1652.1 = 27, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1850.1 = 38, tag_id_1950.1 = 42, tag_id_2301.1 = 65, tag_id_402.1 = 74, tag_id_55.1 = 77, tag_id_987.1 = 90)"
"77","krista","gtseq3_T-19-ST-DE-M1012","diaconus","diaconus","1","-32.4458754567327","0.489879426075437","76","14","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1889.1 = 40, tag_id_1915.1 = 41, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2635.1 = 71)"
"78","krista","gtseq3_T-19-ST-DE-M1013","diaconus","diaconus","1","-35.8231516172172","-0.390070839264102","71","19","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1558.1 = 21, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1889.1 = 40, tag_id_1915.1 = 41, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2301.1 = 65, tag_id_2499.1 = 68, tag_id_2635.1 = 71, tag_id_770.1 = 80, tag_id_879.1 = 86, tag_id_987.1 = 90)"
"79","krista","gtseq3_T-19-ST-DE-M1014","diaconus","diaconus","0.999999999999997","-26.3264146914878","0.757867134559581","63","27","c(Plate_1_A11_Sat_GE820299_consensus.1 = 2, Plate_2_G06_Sat_EW987118_consensus.1 = 5, Plate_4_E10_Sat_EW976030_consensus.1 = 7, tag_id_1184.1 = 11, tag_id_143.1 = 16, tag_id_1558.1 = 21, tag_id_1613.1 = 25, tag_id_1751.1 = 31, tag_id_1762.1 = 32, tag_id_179.1 = 33, tag_id_1810.1 = 36, tag_id_1836.1 = 37, tag_id_1850.1 = 38, tag_id_1880.1 = 39, tag_id_1915.1 = 41, tag_id_2008.1 = 48, tag_id_2062.1 = 51, tag_id_2178.1 = 56, tag_id_2203.1 = 59, tag_id_2214.1 = 61, tag_id_2301.1 = 65, tag_id_2499.1 = 68, 
tag_id_2635.1 = 71, tag_id_770.1 = 80, tag_id_879.1 = 86, tag_id_981.1 = 89, tag_id_987.1 = 90)"
